carat,cut,color,clarity,depth_pctg,table,price,length,width,depth
0.9,Very Good,H,VVS1,62.3,59.0,4977,6.09,6.15,3.81
0.72,Ideal,F,SI2,61.6,57.0,2074,5.75,5.68,3.52
0.51,Good,D,VVS2,63.1,58.0,2174,5.07,5.1,3.21
0.5,Ideal,D,SI2,61.0,57.0,1250,5.15,5.12,3.13
0.3,Premium,E,VVS2,60.8,60.0,1013,4.31,4.27,2.61
0.51,Premium,D,SI1,62.2,58.0,1619,5.13,5.06,3.17
0.42,Ideal,F,VVS2,61.3,57.0,1221,4.82,4.8,2.95
1.51,Very Good,D,VS2,62.3,59.0,14112,7.29,7.34,4.56
1.0,Premium,D,SI1,59.2,62.0,5723,6.54,6.49,3.86
0.59,Ideal,G,VS2,61.7,55.0,2159,5.38,5.41,3.33
1.01,Very Good,G,VS2,60.2,58.0,6213,6.51,6.54,3.93
0.32,Premium,G,SI2,62.3,58.0,540,4.42,4.37,2.74
0.7,Very Good,G,SI1,63.2,58.0,2117,5.64,5.6,3.55
0.23,Very Good,E,VVS2,62.3,55.0,505,3.9,3.93,2.44
1.13,Ideal,F,I1,62.2,55.0,3607,6.68,6.63,4.14
1.5,Ideal,E,SI1,61.9,57.0,9828,7.37,7.31,4.54
1.2,Ideal,F,IF,61.6,57.0,14430,6.84,6.79,4.2
1.5,Very Good,H,VVS1,63.8,57.0,11654,7.17,7.21,4.59
1.02,Good,E,VS2,63.2,60.0,6462,6.29,6.34,3.99
0.7,Very Good,F,VVS2,62.6,59.0,2940,5.6,5.64,3.52
0.41,Premium,F,VVS2,60.1,59.0,1115,4.79,4.82,2.89
0.61,Ideal,H,IF,59.4,59.0,2461,5.55,5.59,3.31
0.31,Very Good,D,SI1,63.5,56.0,732,4.31,4.29,2.73
1.25,Premium,E,SI1,60.9,59.0,7260,6.98,7.02,4.26
0.5,Ideal,E,VVS2,61.8,53.6,2297,5.1,5.13,3.16
0.41,Ideal,I,IF,61.1,57.0,953,4.78,4.81,2.93
1.05,Ideal,I,VVS2,61.8,54.0,5352,6.55,6.57,4.05
1.04,Ideal,H,SI2,61.1,56.0,4290,6.6,6.66,4.05
0.6,Ideal,G,VS1,61.6,56.0,2131,5.44,5.47,3.36
0.25,Ideal,F,VVS1,60.9,57.0,575,4.06,4.09,2.48
1.55,Premium,D,VS2,61.5,58.0,16137,7.51,7.48,4.61
0.9,Fair,H,SI1,65.6,57.0,3024,6.04,6.01,3.95
0.63,Ideal,J,SI1,61.8,56.0,1565,5.47,5.52,3.39
0.71,Ideal,E,SI1,60.8,57.0,3360,5.8,5.84,3.54
1.01,Ideal,G,VS2,62.7,56.0,6108,6.43,6.39,4.02
0.35,Ideal,F,VS2,61.5,57.0,906,4.56,4.52,2.79
1.01,Premium,I,SI2,59.6,62.0,3767,6.56,6.5,3.89
0.37,Very Good,F,VS1,58.6,65.0,863,4.68,4.71,2.75
1.01,Very Good,D,SI1,62.9,59.0,5443,6.39,6.43,4.03
0.73,Ideal,H,VVS1,62.1,56.0,3220,5.75,5.8,3.59
1.7,Premium,I,VS2,62.0,59.0,10929,7.6,7.55,4.7
1.27,Premium,H,VS2,58.9,61.0,5832,7.09,7.03,4.16
0.97,Premium,F,SI2,59.9,59.0,3993,6.45,6.38,3.84
0.4,Premium,D,VS2,60.5,59.0,982,4.76,4.8,2.89
0.78,Ideal,I,VS2,62.0,56.0,2012,5.93,5.87,3.66
0.31,Ideal,F,IF,62.1,55.0,914,4.32,4.38,2.7
0.3,Ideal,H,VS1,62.2,54.0,539,4.29,4.33,2.68
1.02,Very Good,F,SI1,60.2,60.0,5077,6.55,6.61,3.96
2.0,Fair,I,SI2,65.0,57.0,9610,8.01,7.96,5.19
0.3,Ideal,E,VS2,62.1,55.0,658,4.3,4.33,2.68
0.51,Ideal,G,VVS2,61.3,57.0,1974,5.15,5.12,3.15
1.25,Ideal,F,VS1,62.0,55.0,9761,6.95,6.91,4.3
0.47,Ideal,D,VS1,61.0,55.0,1617,5.03,5.01,3.06
0.4,Premium,F,VS1,60.5,60.0,1050,4.8,4.76,2.89
2.18,Ideal,I,SI1,61.2,56.0,15646,8.39,8.51,5.17
1.51,Good,F,SI2,62.9,55.0,7875,7.22,7.28,4.56
1.07,Very Good,I,SI1,61.8,60.0,4307,6.52,6.56,4.04
0.42,Ideal,I,VVS2,61.2,57.0,1299,4.83,4.87,2.97
1.01,Very Good,D,SI1,61.5,54.0,5132,6.4,6.47,3.96
1.01,Good,E,VVS2,63.3,55.0,8976,6.36,6.41,4.04
2.02,Premium,I,VS2,62.9,59.0,15808,8.03,7.93,5.02
1.72,Premium,H,VS2,61.3,59.0,13486,7.69,7.72,4.72
0.6,Premium,D,VS2,62.8,59.0,2037,5.39,5.35,3.37
0.31,Ideal,F,VS2,61.9,55.0,757,4.35,4.37,2.7
0.56,Ideal,G,SI1,62.1,55.0,1417,5.29,5.33,3.3
0.31,Very Good,J,SI1,61.9,59.0,363,4.28,4.32,2.66
0.81,Very Good,F,SI1,61.7,57.0,2858,6.0,6.05,3.72
0.9,Very Good,G,SI2,63.5,57.0,3350,6.09,6.13,3.88
0.56,Ideal,F,SI1,61.1,55.9,1685,5.33,5.35,3.26
1.36,Very Good,H,VS1,59.9,58.0,9178,7.16,7.2,4.3
0.79,Ideal,G,VVS2,62.1,56.0,3760,5.89,5.93,3.67
0.36,Ideal,F,SI1,61.5,56.0,770,4.62,4.59,2.83
0.71,Very Good,E,VS2,62.9,57.0,2964,5.68,5.7,3.58
1.21,Ideal,J,VS2,59.6,57.0,4968,6.98,6.94,4.15
0.26,Very Good,E,IF,58.7,63.0,547,4.19,4.23,2.47
0.31,Ideal,I,VVS1,61.4,54.0,571,4.38,4.41,2.7
0.36,Ideal,G,SI2,60.7,58.0,505,4.62,4.64,2.81
0.31,Very Good,F,SI2,63.0,58.0,408,4.34,4.36,2.74
0.91,Ideal,E,SI2,61.5,56.0,3968,6.2,6.23,3.82
0.46,Ideal,I,VVS1,61.7,57.0,974,4.96,4.99,3.07
0.31,Ideal,G,VVS2,61.4,57.0,671,4.38,4.42,2.69
1.26,Very Good,G,VS2,63.3,57.0,8040,6.88,6.93,4.37
1.02,Premium,D,SI2,60.3,58.0,4718,6.52,6.48,3.92
1.52,Premium,H,SI1,61.0,58.0,9700,7.44,7.39,4.52
0.52,Very Good,I,VVS2,61.9,56.0,1289,5.16,5.18,3.2
1.5,Good,G,SI2,57.9,61.0,6006,7.52,7.48,4.35
0.5,Very Good,F,VS1,59.9,61.0,1550,5.13,5.16,3.08
0.5,Premium,G,SI2,62.4,61.0,863,5.02,4.98,3.12
0.77,Ideal,E,VS2,61.0,56.0,3303,5.91,5.96,3.62
0.71,Ideal,G,SI1,62.3,56.0,2317,5.73,5.7,3.56
0.43,Premium,D,SI1,61.0,57.0,993,4.88,4.85,2.97
0.73,Ideal,G,VS1,61.5,56.0,3270,5.8,5.77,3.56
0.73,Very Good,F,VS1,62.0,57.0,3200,5.73,5.75,3.56
0.53,Good,E,SI2,63.4,56.0,1141,5.16,5.18,3.28
1.09,Very Good,D,SI2,63.4,59.0,3742,6.59,6.54,4.16
1.02,Ideal,D,VVS2,62.0,56.0,10967,6.43,6.48,4.0
0.34,Good,E,SI1,63.3,57.0,556,4.44,4.47,2.82
0.35,Premium,F,VS1,60.7,58.0,767,4.54,4.58,2.77
0.4,Premium,H,VS2,59.1,61.0,945,4.84,4.81,2.85
0.79,Premium,G,VS2,59.3,62.0,2839,6.09,6.01,3.59
0.32,Ideal,D,VVS2,59.9,59.0,854,4.45,4.46,2.67
0.72,Ideal,H,VS1,61.4,56.0,2998,5.79,5.81,3.56
0.5,Premium,D,SI1,60.7,59.0,1235,5.11,5.04,3.08
0.91,Premium,E,SI2,62.8,59.0,3898,6.16,6.13,3.86
0.5,Ideal,G,VVS2,62.0,56.0,1935,5.13,5.09,3.17
0.32,Premium,E,SI2,61.2,58.0,576,4.44,4.39,2.7
1.5,Very Good,H,SI2,62.3,60.0,7775,7.28,7.22,4.52
0.41,Ideal,D,VVS2,62.5,57.0,1181,4.75,4.72,2.96
0.8,Ideal,I,VS1,61.9,54.1,2986,5.92,5.98,3.69
1.04,Ideal,G,VVS2,61.5,57.0,9465,6.51,6.54,4.01
0.75,Ideal,G,SI1,62.2,57.0,2456,5.8,5.84,3.62
0.4,Ideal,E,SI2,61.0,58.0,629,4.76,4.78,2.91
0.51,Very Good,E,VVS1,59.9,57.0,2501,5.22,5.24,3.14
1.02,Ideal,F,VVS2,61.9,57.0,9212,6.53,6.42,4.01
1.01,Premium,I,SI1,61.9,58.0,4355,6.48,6.42,3.99
0.31,Ideal,F,VS2,62.0,56.0,802,4.39,4.35,2.71
0.5,Good,D,VS2,64.0,56.0,1708,5.04,5.02,3.22
0.34,Ideal,F,VS2,61.0,57.0,686,4.48,4.5,2.74
0.32,Ideal,E,VVS2,61.5,57.0,1080,4.41,4.4,2.71
0.72,Ideal,F,VVS2,60.9,56.0,3780,5.83,5.77,3.53
1.68,Very Good,F,VS2,61.1,60.0,15309,7.63,7.7,4.68
1.51,Ideal,I,SI2,62.8,54.0,7693,7.28,7.34,4.59
0.65,Good,E,VS2,57.8,61.2,2406,5.72,5.78,3.32
0.7,Good,J,SI1,64.3,56.0,1442,5.62,5.57,3.6
1.06,Premium,F,SI1,61.9,58.0,4774,6.53,6.58,4.06
0.5,Good,G,SI1,62.5,64.0,1197,4.93,4.99,3.1
0.31,Good,E,VS2,63.4,55.0,544,4.32,4.35,2.75
1.0,Premium,H,VS2,61.3,61.0,5096,6.44,6.38,3.93
0.5,Good,E,SI1,63.7,56.0,1316,5.02,5.06,3.21
2.01,Ideal,G,VS2,61.4,54.0,18607,8.16,8.09,4.99
0.51,Very Good,G,IF,63.8,58.0,2063,5.06,5.09,3.24
1.25,Ideal,I,SI2,61.4,55.0,5395,6.92,6.99,4.27
1.07,Ideal,J,SI1,60.8,56.0,3775,6.61,6.57,4.01
1.03,Fair,I,SI1,57.4,61.0,3892,6.67,6.71,3.84
0.99,Fair,J,I1,62.9,58.0,1901,6.33,6.1,3.91
0.3,Premium,H,SI1,59.3,59.0,540,4.38,4.36,2.59
0.7,Ideal,H,VVS1,62.0,55.0,2881,5.74,5.71,3.55
0.3,Ideal,I,VVS1,62.4,56.0,709,4.32,4.3,2.69
0.26,Ideal,E,VVS2,61.5,56.0,769,4.11,4.08,2.52
0.34,Ideal,E,VVS1,61.8,55.0,1107,4.49,4.5,2.78
0.3,Premium,E,VVS2,61.8,58.0,1013,4.29,4.26,2.64
1.11,Very Good,I,SI2,62.6,55.0,4168,6.65,6.71,4.18
1.18,Ideal,I,SI1,61.5,56.0,5378,6.77,6.82,4.18
0.4,Premium,I,VVS1,59.5,59.0,1080,4.79,4.76,2.84
1.49,Very Good,H,VS2,62.7,60.0,9552,7.24,7.31,4.56
0.4,Very Good,G,SI1,61.6,59.0,702,4.66,4.72,2.89
0.31,Ideal,G,VVS1,60.6,57.0,1046,4.4,4.38,2.66
1.58,Very Good,F,SI2,63.2,57.0,6813,7.43,7.38,4.68
0.7,Fair,E,SI1,65.2,58.0,2318,5.57,5.54,3.62
2.0,Very Good,I,SI1,58.5,58.0,15249,8.24,8.28,4.83
1.41,Ideal,G,VS1,60.4,57.0,11009,7.22,7.31,4.39
0.73,Good,I,SI2,63.7,57.0,1610,5.76,5.67,3.63
0.41,Very Good,E,VS1,62.0,57.0,1079,4.74,4.77,2.95
2.02,Premium,I,SI2,61.1,61.0,13991,8.11,8.08,4.95
0.31,Premium,D,VVS1,62.1,59.0,942,4.38,4.32,2.7
0.33,Premium,E,VVS2,60.3,58.0,1114,4.49,4.47,2.7
1.02,Premium,H,SI1,62.9,59.0,4884,6.41,6.38,4.02
1.01,Ideal,E,SI2,62.2,56.0,4875,6.45,6.42,4.0
0.31,Ideal,D,VVS1,62.3,54.0,949,4.36,4.4,2.73
1.5,Good,E,SI1,64.1,58.0,11795,7.24,7.15,4.61
1.52,Very Good,I,VS1,62.9,59.9,10032,7.27,7.31,4.59
1.23,Very Good,D,SI2,62.3,58.0,6710,6.78,6.81,4.23
0.3,Very Good,H,VS1,62.0,58.0,526,4.24,4.28,2.64
0.31,Ideal,E,VS2,61.8,56.0,680,4.34,4.36,2.69
0.71,Very Good,D,SI1,63.2,56.0,2652,5.69,5.73,3.61
1.06,Ideal,I,VS2,61.4,57.0,4405,6.57,6.52,4.02
0.57,Ideal,G,VVS2,61.7,56.0,2206,5.33,5.3,3.28
0.53,Good,E,VS1,63.2,56.0,1776,5.14,5.18,3.26
0.39,Very Good,E,VS1,59.7,56.0,883,4.8,4.85,2.88
0.37,Ideal,F,VVS1,61.3,55.0,960,4.62,4.65,2.84
0.5,Premium,F,SI1,60.1,59.0,1332,5.17,5.14,3.1
0.41,Very Good,D,SI1,62.9,58.0,791,4.7,4.75,2.97
1.08,Ideal,H,VS2,61.8,56.0,5625,6.59,6.55,4.06
1.01,Very Good,D,SI1,61.5,61.0,5542,6.37,6.47,3.95
0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64
0.7,Ideal,F,SI1,61.7,58.0,2662,5.67,5.7,3.51
0.72,Ideal,G,VS1,61.6,56.0,3478,5.75,5.78,3.55
0.5,Very Good,E,SI2,61.5,58.0,1077,5.03,5.09,3.11
0.72,Ideal,F,VS1,60.7,57.0,3759,5.79,5.87,3.54
0.42,Very Good,D,SI1,60.2,57.0,756,4.85,4.89,2.93
1.16,Fair,H,SI2,68.2,55.0,3118,6.47,6.37,4.38
0.41,Ideal,F,VVS1,61.8,57.0,1295,4.75,4.79,2.95
0.32,Premium,G,VS1,62.5,60.0,828,4.35,4.29,2.7
1.29,Ideal,H,VS1,61.2,57.0,8887,7.01,7.05,4.3
0.9,Ideal,E,SI1,61.9,54.0,5373,6.19,6.22,3.84
0.31,Fair,G,VS1,64.6,55.0,695,4.31,4.26,2.77
0.37,Ideal,F,SI1,61.6,55.0,747,4.65,4.67,2.87
1.11,Good,G,SI2,59.7,61.0,5438,6.72,6.69,4.0
0.3,Good,G,VS2,63.1,58.0,491,4.23,4.27,2.68
1.52,Ideal,G,VS2,62.8,54.0,13809,7.3,7.36,4.61
